Date,Forecasted_Close
2025-03-19,798.3118
2025-03-20,804.4656
2025-03-21,809.45514
2025-03-24,813.9147
2025-03-25,818.02435
2025-03-26,821.8132
2025-03-27,825.2926
2025-03-28,828.48645
2025-03-31,831.42725
2025-04-01,834.15094
2025-04-02,836.6921
2025-04-03,839.0822
2025-04-04,841.3493
2025-04-07,843.5166
2025-04-08,845.60376
2025-04-09,847.6266
2025-04-10,849.5974
2025-04-11,851.5255
2025-04-14,853.418
2025-04-15,855.2796
2025-04-16,857.1134
2025-04-17,858.92126
2025-04-18,860.70386
2025-04-21,862.4612
2025-04-22,864.19275
2025-04-23,865.8976
2025-04-24,867.57465
2025-04-25,869.22266
2025-04-28,870.8404
2025-04-29,872.4268
